Q1,Q2,Midterm,Q3,Q4,Final
51.0,56.0,56.0,59.0,50.0,64.4
56.0,54.0,57.0,54.0,57.0,65.6
51.0,51.0,59.0,58.0,52.0,64.2
53.0,56.0,56.0,59.0,59.0,66.6
51.0,55.0,51.0,50.0,55.0,62.4
56.0,56.0,52.0,56.0,59.0,65.8
58.0,53.0,52.0,51.0,59.0,64.6
58.0,53.0,52.0,57.0,58.0,65.6
59.0,52.0,51.0,58.0,51.0,64.2
58.0,50.0,54.0,55.0,54.0,64.2
54.0,53.0,53.0,53.0,57.0,64.0
58.0,55.0,51.0,59.0,54.0,65.4
59.0,57.0,53.0,53.0,51.0,64.6
56.0,51.0,53.0,58.0,53.0,64.2
52.0,58.0,52.0,51.0,50.0,62.6
54.0,58.0,52.0,51.0,54.0,63.8
54.0,53.0,56.0,52.0,58.0,64.6
57.0,55.0,57.0,53.0,53.0,65.0
59.0,58.0,57.0,55.0,58.0,67.4
56.0,54.0,52.0,52.0,51.0,63.0
58.0,52.0,56.0,54.0,59.0,65.8
59.0,55.0,59.0,52.0,50.0,65.0
52.0,59.0,51.0,58.0,51.0,64.2
50.0,55.0,55.0,56.0,56.0,64.4
55.0,57.0,52.0,56.0,58.0,65.6
66.0,60.0,69.0,69.0,67.0,76.2
62.0,67.0,60.0,67.0,61.0,73.4
68.0,61.0,63.0,69.0,67.0,75.6
67.0,63.0,69.0,62.0,65.0,75.2
61.0,65.0,62.0,67.0,65.0,74.0
68.0,62.0,62.0,68.0,68.0,75.6
62.0,69.0,66.0,63.0,63.0,74.6
68.0,68.0,60.0,65.0,64.0,75.0
69.0,64.0,62.0,69.0,67.0,76.2
68.0,68.0,63.0,65.0,62.0,75.2
62.0,63.0,65.0,61.0,69.0,74.0
64.0,61.0,64.0,60.0,68.0,73.4
65.0,66.0,69.0,67.0,63.0,76.0
62.0,68.0,67.0,63.0,63.0,74.6
62.0,65.0,68.0,64.0,66.0,75.0
63.0,61.0,60.0,60.0,63.0,71.4
64.0,66.0,60.0,60.0,68.0,73.6
63.0,61.0,60.0,66.0,67.0,73.4
61.0,66.0,68.0,69.0,64.0,75.6
67.0,64.0,60.0,66.0,65.0,74.4
68.0,67.0,66.0,65.0,66.0,76.4
68.0,62.0,64.0,68.0,69.0,76.2
66.0,61.0,69.0,65.0,65.0,75.2
65.0,67.0,65.0,69.0,68.0,76.8
64.0,66.0,61.0,69.0,60.0,74.0
79.0,76.0,72.0,72.0,77.0,85.2
76.0,73.0,74.0,76.0,73.0,84.4
74.0,73.0,70.0,77.0,76.0,84.0
76.0,77.0,72.0,71.0,74.0,84.0
71.0,72.0,78.0,75.0,77.0,84.6
75.0,79.0,77.0,78.0,72.0,86.2
72.0,73.0,71.0,75.0,76.0,83.4
70.0,72.0,77.0,78.0,75.0,84.4
71.0,77.0,71.0,79.0,77.0,85.0
76.0,75.0,72.0,70.0,76.0,83.8
71.0,77.0,75.0,74.0,76.0,84.6
76.0,70.0,73.0,74.0,74.0,83.4
70.0,78.0,74.0,75.0,73.0,84.0
78.0,75.0,72.0,70.0,71.0,83.2
79.0,77.0,79.0,77.0,77.0,87.8
72.0,78.0,70.0,71.0,71.0,82.4
79.0,75.0,77.0,78.0,70.0,85.8
75.0,72.0,79.0,79.0,70.0,85.0
78.0,74.0,70.0,70.0,70.0,82.4
71.0,79.0,77.0,72.0,73.0,84.4
75.0,75.0,74.0,70.0,79.0,84.6
74.0,70.0,70.0,74.0,77.0,83.0
73.0,74.0,79.0,77.0,74.0,85.4
76.0,72.0,71.0,70.0,79.0,83.6
70.0,70.0,74.0,74.0,72.0,82.0
86.0,82.0,82.0,85.0,86.0,94.2
81.0,84.0,89.0,81.0,84.0,93.8
86.0,88.0,83.0,84.0,84.0,95.0
84.0,89.0,83.0,81.0,82.0,93.8
89.0,85.0,86.0,84.0,83.0,95.4
89.0,80.0,80.0,80.0,82.0,92.2
83.0,89.0,86.0,87.0,81.0,95.2
88.0,89.0,85.0,81.0,82.0,95.0
89.0,83.0,82.0,87.0,80.0,94.2
89.0,87.0,82.0,85.0,85.0,95.6
87.0,84.0,87.0,81.0,83.0,94.4
88.0,81.0,83.0,89.0,80.0,94.2
85.0,85.0,88.0,80.0,82.0,94.0
87.0,87.0,81.0,84.0,84.0,94.6
80.0,81.0,80.0,89.0,81.0,92.2
85.0,80.0,82.0,81.0,81.0,91.8
86.0,83.0,82.0,89.0,84.0,94.8
85.0,89.0,83.0,83.0,87.0,95.4
89.0,84.0,89.0,88.0,84.0,96.8
82.0,89.0,82.0,80.0,82.0,93.0
83.0,81.0,85.0,81.0,81.0,92.2
83.0,83.0,84.0,84.0,83.0,93.4
83.0,84.0,81.0,89.0,83.0,94.0
84.0,87.0,86.0,83.0,81.0,94.2
86.0,85.0,82.0,86.0,80.0,93.8
68.0,65.0,64.0,68.0,60.0,86.0
68.0,66.0,66.0,63.0,62.0,90.0
61.0,60.0,67.0,63.0,66.0,87.0
63.0,61.0,64.0,64.0,61.0,89.0
63.0,60.0,67.0,67.0,67.0,94.0
64.0,60.0,60.0,64.0,60.0,87.0
66.0,63.0,69.0,62.0,65.0,88.0
67.0,69.0,60.0,60.0,64.0,91.0
65.0,65.0,62.0,64.0,68.0,88.0
67.0,63.0,64.0,65.0,65.0,86.0
